k,display_name,context,metric,mean,std
1.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6488959894460415,0.04384295936588168
2.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6488959894460415,0.04384295936588168
3.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6527851911156547,0.042284275256685246
4.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6517992626106957,0.04503568583856679
5.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6559230536878872,0.04525691022020528
6.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6536493125288976,0.04777647709725079
7.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6556586312741994,0.04448734077414806
8.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6548539077558975,0.047111830265263874
9.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6548333965766071,0.046959838955100947
10.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6555995055593894,0.04683501564574144
11.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6566558167292834,0.04442031250563469
12.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6567184900621545,0.04427591857035628
13.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6568243732907798,0.0452831891646537
14.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6573857605832071,0.044388478060245096
15.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6573547912602059,0.04429524892957472
16.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6582893835679096,0.04488869160418481
17.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6585571180887918,0.0447646786516353
18.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6582280380915904,0.04426270684288563
19.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6575762942910149,0.04568438066121381
20.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.65700456883114,0.04620843123502312
21.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6570108586431885,0.0460382257241697
22.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6564989311429572,0.047045147793552074
23.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6562984199143402,0.04733138958938078
24.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6577851359874006,0.046660796773211964
25.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6575011718296213,0.04672659419544434
26.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6575914331065769,0.04705713107712646
