k,display_name,context,metric,mean,std
1.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6795560548886193,0.04063604164147743
2.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6795560548886193,0.04063604164147743
3.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6869835932901575,0.04108977768372441
4.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6866852826752374,0.041538164989948556
5.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6926778138153522,0.04154150095731212
6.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.690414964636836,0.041212425104403046
7.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6894589636195745,0.04154548827080027
8.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.688986253248088,0.04341560122549004
9.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6881963899870395,0.04414984772772912
10.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6892008638827509,0.04215332925728481
11.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6901453101312548,0.04210096285567786
12.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6894535512001722,0.043070676330891004
13.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6888537672327059,0.042460232524049873
14.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6889949819603841,0.04279693700966785
15.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6901362740720403,0.04229843374482272
16.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6901692044528568,0.04184915556731847
17.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6908173240446025,0.04004599705692319
18.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6900958883198984,0.04082856622848233
19.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6908759969676721,0.04036243513715465
20.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6913777768132806,0.040793032891887376
21.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6913009636618344,0.041317212798082224
22.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6920185634517511,0.04039290335307797
23.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6936997053519062,0.039763557369537794
24.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6915642420080037,0.041105680605862
25.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6909750884879713,0.041526364028167534
26.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6917157728953299,0.04110292684533771
27.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.691858633138505,0.040135706517377814
28.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6932228904528732,0.04097657644444238
29.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6937266559606745,0.040078689045846924
30.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6931210319041547,0.04178911274152093
31.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6929499458035749,0.04230218464188027
32.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6923899870199416,0.04173416004022568
33.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6933283333657217,0.04130849134486871
34.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6927347827627979,0.04183186553582332
35.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6922603273935123,0.041381229201376914
36.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6921046130441221,0.04202351952824743
37.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6921326110524834,0.042886391594278955
38.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6917461457632598,0.042032465368438056
39.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6905169090101778,0.04240893851442865
40.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.690689157523042,0.04256481546112554
41.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.690816535251122,0.04179628625087945
42.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6904396620974623,0.042608586793016115
43.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6907239035017898,0.04259955382869319
44.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6907025347614656,0.0425663455119707
45.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6908810933896525,0.04353684864840182
46.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6908772501723567,0.04279365161074044
47.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6906666428204495,0.04297769680033241
48.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6905906896267759,0.042487849622726115
49.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6902398096649551,0.042656198020361726
50.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6899537737006436,0.04305153479880124
51.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6903917610069211,0.043146773609341924
52.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6902195254751736,0.04328657510515131
53.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6898752243278174,0.04281566321740698
54.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6899693628229875,0.042805219937725604
55.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6897289384064947,0.04272327388031486
56.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6900467534172466,0.04220275539345488
57.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6896543467583228,0.04398611741575932
58.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6897312547601036,0.04356600411526701
59.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6899950003753546,0.04442768313616498
60.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6894496822309647,0.04340801560813327
61.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6905029241827292,0.04346599706688809
62.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6899548919363268,0.044387334611920244
63.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6900110154243368,0.04431501221197752
64.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6898217141134689,0.044737646568106366
65.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.689456848257429,0.04490958765543385
66.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6893610383515352,0.04602590463988
67.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6891759122002574,0.04612330488597811
68.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6900857458959925,0.04558139999596781
69.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.69024424286426,0.04560906577465761
70.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6894887067719762,0.046171275034505806
71.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6890413481440342,0.04584250224772967
72.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6895911194029856,0.04604400078778559
73.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6895280318830456,0.04588941833329441
74.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6888983543886037,0.04616379090154133
75.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.689658339796565,0.04498506391673861
76.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6895757701597093,0.04658898030760358
77.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6896806179696422,0.04502338603367357
78.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6891378211710318,0.045535894173930204
79.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6892005767531145,0.04544654920338454
80.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6891690725456618,0.04560499346350288
81.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6890993563374974,0.045326924338368546
82.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6894701258900967,0.0448364825259738
83.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.688952834936674,0.044738550726211225
84.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6889255868087801,0.04437409000061662
85.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6893172907017742,0.044623287486656095
86.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6885999240191558,0.04506610976259295
87.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6883586667204628,0.0456258250590431
88.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6886189162514367,0.04493709173083332
89.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6880767555556018,0.04519556844358289
90.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6882688493007306,0.044266400909631666
91.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6872087981807833,0.04465175847870134
92.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6877313143293629,0.04406223590484738
93.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6869777347350633,0.04579204625530709
94.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6871630062566801,0.04482211479996864
95.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.686555577102198,0.046723978941284675
96.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6872513982817752,0.045752455874267295
97.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6872036015706814,0.04729645637255294
98.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6874867354869416,0.04623898762380673
99.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6871565894564138,0.04649574011093734
100.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6868123972816718,0.04596042859944065
101.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6869693980129468,0.04581422304702177
102.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6870601674368301,0.045666567300652855
103.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.687210143500887,0.04596652123960368
104.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6871088617647816,0.045978232169587234
105.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6867357570211405,0.046225587502160055
106.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6867979908819548,0.04525487340005035
107.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.686603178986067,0.045274061897535314
108.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6862634178756853,0.04540464303519971
109.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6862611699017651,0.045934615786966115
110.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6861530350770169,0.045807613522091804
111.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6856373000507188,0.046650663019127944
112.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6856129052463515,0.04574407964270173
113.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6855504321916734,0.046233904619868905
114.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6859462144621302,0.045881688212168856
115.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6856797690244463,0.045654977525696715
116.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6860205864567577,0.04603566910965902
117.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6856865174571922,0.04654866497228759
118.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6853410260139996,0.0460023847609755
119.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6849757895518411,0.046100636376183605
120.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6857863487895445,0.0456014174505796
121.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6854532838357552,0.04682447449176364
122.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6860973484518631,0.0446535088655699
123.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6858216886084166,0.045969064250068664
124.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6860437875743216,0.045671093514666916
125.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6856952685111231,0.045979149614937424
126.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6856466934034704,0.0455195803791501
127.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.685317100389409,0.048084224534783705
128.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6856522146414383,0.04710283468249086
129.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.684761751684416,0.04779232254478532
130.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6847673984004626,0.0475061528847802
131.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6840053035784348,0.04741038153295397
132.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6837349159950434,0.04769309386662176
133.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6835149806678593,0.048682801091502026
134.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6837849421008589,0.04750664156072416
135.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6836266802944293,0.04853064116502695
136.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6838968515764998,0.04720783074424246
137.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6834398845483729,0.0482203375628976
138.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6837006489419163,0.0476648830146067
139.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6835558934061201,0.047933670437291194
140.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6839281787989314,0.04742730847976176
141.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6827404690311599,0.04850614021866388
142.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6833394835069777,0.048839579155188426
143.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6824984146792168,0.049313270350685535
144.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6833498344414446,0.048931883852641064
145.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6822744786674092,0.04976021867344134
146.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6825201791221884,0.04986546127975003
147.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6816378254324925,0.05014980347228563
148.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6820680537661125,0.04949792111063698
149.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6817573126130704,0.05024019240007038
150.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6819804948047864,0.05003740119385607
151.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6812464177826965,0.050808760976627884
152.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6822807767340171,0.049291449413246126
153.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6805675320475566,0.05045984271580414
154.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6818664439806302,0.04976526523021813
155.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6805170819761441,0.050415878419935674
156.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6811488578826378,0.04935242486918738
157.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.680816709079227,0.048945680480689605
158.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6816580394328198,0.04907416599527106
159.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6806421905191301,0.04969019273350209
160.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6807715217437158,0.0497620529674506
161.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6807929319833141,0.049291252899064414
162.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6810782235340254,0.04925622419396265
163.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6807911246662414,0.048951371641972094
164.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6810960046432918,0.04954415234036632
165.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6809448087540035,0.049098331134292156
166.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6815173113117982,0.04865066133271947
167.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6812597998729376,0.048672588913543244
168.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.680906578311109,0.048897825789042094
169.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6806118228626147,0.049369718635701366
170.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6806283837466396,0.048401942327199396
171.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.680186284879043,0.04899592182745217
172.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6804937725692816,0.048182741096363106
173.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6799240083236007,0.04866658238802457
174.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6799564764677164,0.048312324345471384
175.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6799165359215784,0.04789161294188087
176.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6798984765180803,0.04789008083831658
177.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6796145306341405,0.048067554051399126
178.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6797329154443146,0.04819786965798488
