model,benchmark,score
RF_Morgan,tdcommons/ld50-zhu,0.6298823162213482
RF_Mordred,tdcommons/ld50-zhu,0.6274696501195027
ChemProp_Mordred,tdcommons/ld50-zhu,0.6325819011270113
RF_Mordred,tdcommons/ld50-zhu,0.6395177601580692
MolCLR,tdcommons/ld50-zhu,0.7003956752442863
MLP_PLR_Pretrained,tdcommons/ld50-zhu,0.6493389191014518
MoLFormer,tdcommons/ld50-zhu,0.6340916558208906
fastprop,tdcommons/ld50-zhu,0.6094365377477767
MLP_PLR_Pretrained,tdcommons/ld50-zhu,0.6421983352991499
ChemProp_Mordred,tdcommons/ld50-zhu,0.6518846817687658
MolCLR,tdcommons/ld50-zhu,0.6814152598981121
fastprop,tdcommons/ld50-zhu,0.6484098774331832
MLP_PLR_Pretrained,tdcommons/ld50-zhu,0.621271789411408
CheMeleon,tdcommons/ld50-zhu,0.5363596582980538
PCA_MLP,tdcommons/ld50-zhu,0.61822875137613
MLP_PLR_Pretrained,tdcommons/ld50-zhu,0.6422241807867936
RF_Morgan,tdcommons/ld50-zhu,0.6344712633465429
MoLFormer,tdcommons/ld50-zhu,0.6321416836191416
fastprop,tdcommons/ld50-zhu,0.6445508438834319
CheMeleon,tdcommons/ld50-zhu,0.5151310881490797
RF_Mordred,tdcommons/ld50-zhu,0.6354834999373543
MolCLR,tdcommons/ld50-zhu,0.6834652028935526
CheMeleon,tdcommons/ld50-zhu,0.5211747007363543
MoLFormer,tdcommons/ld50-zhu,0.7918124510477296
ChemProp_Mordred,tdcommons/ld50-zhu,0.6426650862293735
MolCLR,tdcommons/ld50-zhu,0.7126868291643217
ChemProp_Mordred,tdcommons/ld50-zhu,0.6502356497773621
RF_Mordred,tdcommons/ld50-zhu,0.6355040952201142
RF_Morgan,tdcommons/ld50-zhu,0.6173065279735299
RF_Mordred,tdcommons/ld50-zhu,0.6321138691276271
CheMeleon,tdcommons/ld50-zhu,0.5439187263126142
ChemProp_Mordred,tdcommons/ld50-zhu,0.6668277686174571
MolCLR,tdcommons/ld50-zhu,0.700898935225723
CheMeleon,tdcommons/ld50-zhu,0.5178606170969178
fastprop,tdcommons/ld50-zhu,0.6384410723478449
minimol,tdcommons/ld50-zhu,0.5851394358674954
RF_Morgan,tdcommons/ld50-zhu,0.6330833495698408
ChemProp,tdcommons/ld50-zhu,0.6096163785344694
RF_Morgan,tdcommons/ld50-zhu,0.6323473486318598
PCA_MLP_Prefitted,tdcommons/ld50-zhu,0.6417113598531896
PCA_MLP_Prefitted,tdcommons/ld50-zhu,0.6408995713039083
minimol,tdcommons/ld50-zhu,0.6160829477819925
minimol,tdcommons/ld50-zhu,0.5971656458458494
ChemProp,tdcommons/ld50-zhu,0.6090741500957731
PCA_MLP_Prefitted,tdcommons/ld50-zhu,0.6134714406398056
PCA_MLP,tdcommons/ld50-zhu,0.6187545173474674
PCA_MLP,tdcommons/ld50-zhu,0.6335827270457484
PCA_MLP_Prefitted,tdcommons/ld50-zhu,0.6542495073833389
ChemProp,tdcommons/ld50-zhu,0.5629254353069001
minimol,tdcommons/ld50-zhu,0.6133413447688494
PCA_MLP,tdcommons/ld50-zhu,0.6388175884828838
MoLFormer,tdcommons/ld50-zhu,0.6212541171526876
MoLFormer,tdcommons/ld50-zhu,0.6346225908918859
ChemProp,tdcommons/ld50-zhu,0.6174325002656094
fastprop,tdcommons/ld50-zhu,0.6312499563877896
PCA_MLP_Prefitted,tdcommons/ld50-zhu,0.6417235806030254
MLP_PLR_Pretrained,tdcommons/ld50-zhu,0.6003942798742261
ChemProp,tdcommons/ld50-zhu,0.5900371637105619
PCA_MLP,tdcommons/ld50-zhu,0.6322261637989658
minimol,tdcommons/ld50-zhu,0.612571405144925
MolCLR,tdcommons/ames,0.8013393643893554
MolCLR,tdcommons/ames,0.8004513501341323
CheMeleon,tdcommons/ames,0.8543617458732303
PCA_MLP,tdcommons/ames,0.8496113101881768
ChemProp,tdcommons/ames,0.8432767432297481
CheMeleon,tdcommons/ames,0.8462325481211694
ChemProp,tdcommons/ames,0.8244649395915329
