model,benchmark,score
MiniCheMeleon,tdcommons/ld50-zhu,0.6452924820728329
MiniCheMeleon,tdcommons/ld50-zhu,0.6662220612243323
CheMeleon,tdcommons/ld50-zhu,0.5211747007363543
MolCLR,tdcommons/ld50-zhu,0.6834652028935526
RF_Mordred,tdcommons/ld50-zhu,0.6354834999373543
RF_Mordred,tdcommons/ld50-zhu,0.6321138691276271
MiniCheMeleon,tdcommons/ld50-zhu,0.6397832294871907
MolCLR,tdcommons/ld50-zhu,0.7126868291643217
CheMeleon,tdcommons/ld50-zhu,0.5151310881490797
Chemprop,tdcommons/ld50-zhu,0.6096163785344694
CheMeleon,tdcommons/ld50-zhu,0.5178606170969178
RF_Mordred,tdcommons/ld50-zhu,0.6355040952201142
minimol,tdcommons/ld50-zhu,0.6133413447688494
Chemprop,tdcommons/ld50-zhu,0.5900371637105619
MiniCheMeleon,tdcommons/ld50-zhu,0.646463957705259
MolCLR,tdcommons/ld50-zhu,0.700898935225723
CheMeleon,tdcommons/ld50-zhu,0.5439187263126142
MiniCheMeleon,tdcommons/ld50-zhu,0.6324422481637524
minimol,tdcommons/ld50-zhu,0.6160829477819925
fastprop,tdcommons/ld50-zhu,0.6312499563877896
MolCLR,tdcommons/ld50-zhu,0.7003956752442863
MolCLR,tdcommons/ld50-zhu,0.6814152598981121
minimol,tdcommons/ld50-zhu,0.612571405144925
RF,tdcommons/ld50-zhu,0.6347080493293167
fastprop,tdcommons/ld50-zhu,0.6484098774331832
MoLFormer,tdcommons/ld50-zhu,0.6321416836191416
RF,tdcommons/ld50-zhu,0.6356208455343109
fastprop,tdcommons/ld50-zhu,0.6094365377477767
MoLFormer,tdcommons/ld50-zhu,0.7918124510477296
Chemprop,tdcommons/ld50-zhu,0.6090741500957731
MoLFormer,tdcommons/ld50-zhu,0.6346225908918859
Chemprop,tdcommons/ld50-zhu,0.5629254353069001
RF,tdcommons/ld50-zhu,0.6369438630511572
Chemprop,tdcommons/ld50-zhu,0.6174325002656094
MoLFormer,tdcommons/ld50-zhu,0.6340916558208906
RF_Mordred,tdcommons/ld50-zhu,0.6274696501195027
MoLFormer,tdcommons/ld50-zhu,0.6212541171526876
minimol,tdcommons/ld50-zhu,0.5851394358674954
RF_Mordred,tdcommons/ld50-zhu,0.6395177601580692
fastprop,tdcommons/ld50-zhu,0.6384410723478449
RF,tdcommons/ld50-zhu,0.6342932411020118
fastprop,tdcommons/ld50-zhu,0.6445508438834319
RF,tdcommons/ld50-zhu,0.6368702812342935
CheMeleon,tdcommons/ld50-zhu,0.5363596582980538
minimol,tdcommons/ld50-zhu,0.5971656458458494
minimol,tdcommons/ames,0.8518455423055082
CheMeleon,tdcommons/ames,0.8406224911394389
MolCLR,tdcommons/ames,0.7985832892752942
MiniCheMeleon,tdcommons/ames,0.8235172022166088
MolCLR,tdcommons/ames,0.79457204957998
Chemprop,tdcommons/ames,0.8301591963813664
minimol,tdcommons/ames,0.8587244708139967
RF,tdcommons/ames,0.8501282578472263
fastprop,tdcommons/ames,0.8473339990992578
minimol,tdcommons/ames,0.8490943625291273
Chemprop,tdcommons/ames,0.8424680334449471
MoLFormer,tdcommons/ames,0.5664199416475749
MiniCheMeleon,tdcommons/ames,0.8427108421938945
RF,tdcommons/ames,0.8528725841508547
Chemprop,tdcommons/ames,0.8432767432297481
MoLFormer,tdcommons/ames,0.8548160332099708
RF_Mordred,tdcommons/ames,0.8476071589418238
MoLFormer,tdcommons/ames,0.85537801797568
RF,tdcommons/ames,0.8485049638724079
minimol,tdcommons/ames,0.8504905128355752
fastprop,tdcommons/ames,0.8419001742740214
RF,tdcommons/ames,0.8470060114746716
MoLFormer,tdcommons/ames,0.5392155710900937
MoLFormer,tdcommons/ames,0.8574810550431768
Chemprop,tdcommons/ames,0.8388014255223325
fastprop,tdcommons/ames,0.8435175938436235
fastprop,tdcommons/ames,0.8515870684759835
minimol,tdcommons/ames,0.8530635023203901
