,number,value,datetime_start,datetime_complete,duration,params_embedding_size,params_hidden_size,params_num_layers,state
0,0,0.04299227148294449,2025-04-13 22:54:39.716947,2025-04-14 10:32:44.335634,0 days 11:38:04.618687,16,4096,2,COMPLETE
1,1,0.046069804579019547,2025-04-14 10:32:44.336721,2025-04-14 21:50:05.573826,0 days 11:17:21.237105,8,4096,4,COMPLETE
2,2,0.06885047256946564,2025-04-14 21:50:05.575599,2025-04-15 07:42:03.688272,0 days 09:51:58.112673,8,1024,3,COMPLETE
3,3,0.043227825313806534,2025-04-15 07:42:03.689406,2025-04-15 19:20:59.536619,0 days 11:38:55.847213,16,4096,2,COMPLETE
4,4,0.05892185866832733,2025-04-15 19:20:59.537877,2025-04-16 05:38:19.971674,0 days 10:17:20.433797,12,2048,3,COMPLETE
5,5,0.06978952139616013,2025-04-16 05:38:19.972591,2025-04-16 15:28:20.601481,0 days 09:50:00.628890,8,1024,3,COMPLETE
6,6,0.0708923265337944,2025-04-16 15:28:20.602779,2025-04-17 01:18:50.685369,0 days 09:50:30.082590,4,1024,2,COMPLETE
7,7,0.04337520897388458,2025-04-17 01:18:50.686540,2025-04-17 13:26:07.591333,0 days 12:07:16.904793,16,4096,4,COMPLETE
8,8,0.05875813215970993,2025-04-17 13:26:07.592544,2025-04-17 23:39:04.699011,0 days 10:12:57.106467,12,2048,2,COMPLETE
9,9,0.058033235371112823,2025-04-17 23:39:04.700036,2025-04-18 10:07:04.252467,0 days 10:27:59.552431,16,2048,3,COMPLETE
